Domain,Predicted,Actual
6.17522,0.166063,-0.107754
6.22522,0.166386,-0.0579308
6.27522,0.166701,-0.00796318
6.32522,0.167009,0.0420244
6.37522,0.16731,0.0919069
6.42522,0.167604,0.14156
6.47522,0.167891,0.190859
6.52522,0.168171,0.23968
6.57522,0.168445,0.287903
6.62522,0.168713,0.335407
6.67522,0.168974,0.382071
6.72522,0.169229,0.427781
6.77522,0.169479,0.472422
6.82522,0.169722,0.515882
6.87522,0.16996,0.558052
6.92522,0.170192,0.598828
6.97522,0.170419,0.638107
7.02522,0.170641,0.675791
7.07522,0.170857,0.711785
7.12522,0.171069,0.746001
7.17522,0.171275,0.778352
7.22522,0.171477,0.808758
7.27522,0.171674,0.837142
7.32522,0.171866,0.863433
7.37522,0.172054,0.887567
7.42522,0.172237,0.909482
7.47522,0.172417,0.929124
7.52522,0.172592,0.946444
7.57522,0.172762,0.961397
7.62522,0.172929,0.973948
7.67522,0.173092,0.984065
7.72522,0.173251,0.991722
7.77522,0.173406,0.9969
7.82522,0.173558,0.999586
7.87522,0.173706,0.999774
7.92522,0.173851,0.997463
7.97522,0.173992,0.992659
8.02522,0.17413,0.985374
8.07522,0.174265,0.975626
8.12522,0.174396,0.963439
8.17522,0.174524,0.948844
8.22522,0.17465,0.931878
8.27522,0.174772,0.912582
8.32522,0.174892,0.891006
8.37522,0.175008,0.867202
8.42522,0.175122,0.841231
8.47522,0.175234,0.813157
8.52522,0.175342,0.783051
8.57522,0.175448,0.750987
8.62522,0.175552,0.717047
8.67522,0.175653,0.681314
8.72522,0.175752,0.643878
8.77522,0.175848,0.604833
8.82522,0.175942,0.564276
8.87522,0.176034,0.522309
8.92522,0.176124,0.479036
8.97522,0.176211,0.434566
9.02522,0.176297,0.389009
9.07522,0.17638,0.342481
9.12522,0.176462,0.295096
9.17522,0.176541,0.246974
9.22522,0.176619,0.198234
9.27522,0.176695,0.148999
9.32522,0.176769,0.0993915
9.37522,0.176841,0.0495356
